_id,operator_registration_number,postal_code,ward_number,ward_name
1808813,STR-2212-GLRPHT,M3A,16.0,Don Valley East
1808814,STR-2301-HCDPHW,M8W,3.0,Etobicoke-Lakeshore
1808815,STR-2301-HKKPHX,M8Y,3.0,Etobicoke-Lakeshore
1808816,STR-2301-HSRPHY,M4E,19.0,Beaches-East York
1808817,STR-2301-HZXPHZ,M6N,5.0,York South-Weston
1808818,STR-2301-FWVBHR,M2J,17.0,Don Valley North
1808819,STR-2301-GVPBHV,M5S,11.0,University-Rosedale
1808820,STR-2301-HLBBHX,M9B,2.0,Etobicoke Centre
1808821,STR-2301-HTHBHY,M5V,10.0,Spadina-Fort York
1808822,STR-2301-FXKPHR,M1E,25.0,Scarborough-Rouge Park
1808823,STR-2301-GMXPHT,M5V,10.0,Spadina-Fort York
1808824,STR-2301-GWDPHV,M5V,10.0,Spadina-Fort York
1808825,STR-2301-HDKPHW,M6N,5.0,York South-Weston
1808826,STR-2301-HTXPHY,M5V,10.0,Spadina-Fort York
1808827,STR-2301-HGYVHW,M2N,18.0,Willowdale
1808828,STR-2301-JCDPHZ,M4L,19.0,Beaches-East York
1808829,STR-2301-FHPBHP,M5J,10.0,Spadina-Fort York
1808830,STR-2301-GGHBHS,M6H,9.0,Davenport
1808831,STR-2301-GWVBHV,M5J,10.0,Spadina-Fort York
1808832,STR-2301-HFBBHW,M5V,10.0,Spadina-Fort York
1808833,STR-2301-HVPBHY,M6P,4.0,Parkdale-High Park
1808834,STR-2301-FJDPHP,M6G,11.0,University-Rosedale
1808835,STR-2301-GGXPHS,M4M,14.0,Toronto-Danforth
1808836,STR-2301-HFRPHW,M5J,10.0,Spadina-Fort York
1808837,STR-2301-FJVBHP,M9B,3.0,Etobicoke-Lakeshore
1808838,STR-2301-FZHBHR,M4L,19.0,Beaches-East York
1808839,STR-2301-GHPBHS,M6E,12.0,Toronto-St. Paul's
1808840,STR-2301-HPPBHX,M6K,10.0,Spadina-Fort York
1808841,STR-2301-JFBBHZ,M5V,10.0,Spadina-Fort York
1808842,STR-2301-FZXPHR,M6S,4.0,Parkdale-High Park
1808843,STR-2301-GJDPHS,M1B,25.0,Scarborough-Rouge Park
1808844,STR-2301-HGXPHW,M6J,9.0,Davenport
1808845,STR-2301-JFRPHZ,M6K,9.0,Davenport
1808846,STR-2301-FLBBHP,M5J,10.0,Spadina-Fort York
1808847,STR-2301-GJVBHS,M4S,15.0,Don Valley West
1808848,STR-2301-FLRPHP,M6R,4.0,Parkdale-High Park
1808849,STR-2301-GCDPHR,M1J,21.0,Scarborough Centre
1808850,STR-2301-GKKPHS,M5V,10.0,Spadina-Fort York
1808851,STR-2301-GSRPHT,M6K,10.0,Spadina-Fort York
1808852,STR-2301-GZXPHV,M9C,2.0,Etobicoke Centre
1808853,STR-2301-HRKPHX,M5J,10.0,Spadina-Fort York
1808854,STR-2301-HYRPHY,M5V,10.0,Spadina-Fort York
1808855,STR-2301-FFCHHP,M6S,4.0,Parkdale-High Park
1808856,STR-2301-FVQHHR,M3N,7.0,Humber River-Black Creek
1808857,STR-2301-GTJHHV,M6K,10.0,Spadina-Fort York
1808858,STR-2301-FFSVHP,M2M,18.0,Willowdale
1808859,STR-2301-FMYVHQ,M9R,1.0,Etobicoke North
1808860,STR-2301-FWFVHR,M1B,25.0,Scarborough-Rouge Park
1808861,STR-2301-GDLVHS,M1N,20.0,Scarborough Southwest
1808862,STR-2301-GTYVHV,M6K,9.0,Davenport
1808863,STR-2301-HKLVHX,M5V,10.0,Spadina-Fort York
1808864,STR-2301-HSSVHY,M9C,2.0,Etobicoke Centre
1808865,STR-2301-FGJHHP,M6B,8.0,Eglinton-Lawrence
1808866,STR-2301-GFCHHS,M5A,13.0,Toronto Centre
1808867,STR-2301-GMJHHT,M2J,17.0,Don Valley North
1808868,STR-2301-GVQHHV,M6K,10.0,Spadina-Fort York
1808869,STR-2301-HLCHHX,M6P,4.0,Parkdale-High Park
1808870,STR-2301-HTJHHY,M1E,25.0,Scarborough-Rouge Park
1808871,STR-2301-JBQHHZ,M4V,12.0,Toronto-St. Paul's
1808872,STR-2301-FGYVHP,M8V,3.0,Etobicoke-Lakeshore
1808873,STR-2301-GFSVHS,M5V,10.0,Spadina-Fort York
1808874,STR-2301-GWFVHV,M4W,11.0,University-Rosedale
1808875,STR-2301-HDLVHW,M5J,10.0,Spadina-Fort York
1808876,STR-2301-HLSVHX,M9C,2.0,Etobicoke Centre
1808877,STR-2301-HTYVHY,M5V,10.0,Spadina-Fort York
