_id,operator_registration_number,postal_code,ward_number,ward_name
1806737,STR-2012-FRPHHC,M6H,9.0,Davenport
1806738,STR-2208-JCSPHM,M5A,13.0,Toronto Centre
1806739,STR-2203-HTZKVL,M5S,13.0,Toronto Centre
1806740,STR-2012-HRBHHK,M6A,8.0,Eglinton-Lawrence
1806741,STR-2204-FLKBHB,M6M,5.0,York South-Weston
1806742,STR-2012-FDZBHB,M4X,13.0,Toronto Centre
1806743,STR-2211-FJWDVB,M2K,17.0,Don Valley North
1806744,STR-2301-HQFVHX,M8V,3.0,Etobicoke-Lakeshore
1806745,STR-2209-FSGXVC,M6K,4.0,Parkdale-High Park
1806746,STR-2009-GCXPBF,M1L,20.0,Scarborough Southwest
1806747,STR-2009-GLDPBG,M6J,9.0,Davenport
1806748,STR-2009-GTKPBH,M6J,11.0,University-Rosedale
1806749,STR-2009-HJXPBK,M4R,8.0,Eglinton-Lawrence
1806750,STR-2009-HSDPBL,M6J,10.0,Spadina-Fort York
1806751,STR-2009-HZKPBM,M6N,9.0,Davenport
1806752,STR-2009-FFFVBB,M6R,4.0,Parkdale-High Park
1806753,STR-2009-GCYVBF,M8Y,3.0,Etobicoke-Lakeshore
1806754,STR-2009-HSFVBL,M9B,3.0,Etobicoke-Lakeshore
1806755,STR-2009-HZLVBM,M2L,15.0,Don Valley West
1806756,STR-2009-FFWHBB,M1T,22.0,Scarborough-Agincourt
1806757,STR-2009-FPCHBC,M5A,13.0,Toronto Centre
1806758,STR-2009-GDQHBF,M4G,15.0,Don Valley West
1806759,STR-2009-GLWHBG,M5J,10.0,Spadina-Fort York
1806760,STR-2009-GVCHBH,M2N,18.0,Willowdale
1806761,STR-2009-GFFVBF,M5V,10.0,Spadina-Fort York
1806762,STR-2009-GMLVBG,M6J,10.0,Spadina-Fort York
1806763,STR-2009-GVSVBH,M5T,10.0,Spadina-Fort York
1806764,STR-2009-FHCHBB,M8Z,3.0,Etobicoke-Lakeshore
1806765,STR-2009-GWJHBH,M3H,6.0,York Centre
1806766,STR-2009-HLWHBK,M5J,10.0,Spadina-Fort York
1806767,STR-2009-FHSVBB,M4J,14.0,Toronto-Danforth
1806768,STR-2009-FQYVBC,M4L,19.0,Beaches-East York
1806769,STR-2009-GGLVBF,M1E,24.0,Scarborough-Guildwood
1806770,STR-2009-GPSVBG,M5S,11.0,University-Rosedale
1806771,STR-2009-HMLVBK,M6J,10.0,Spadina-Fort York
1806772,STR-2009-FYWHBD,M6B,8.0,Eglinton-Lawrence
1806773,STR-2009-GHCHBF,M5V,10.0,Spadina-Fort York
1806774,STR-2009-HPCHBK,M5V,10.0,Spadina-Fort York
1806775,STR-2009-HWJHBL,M5A,13.0,Toronto Centre
1806776,STR-2009-JDQHBM,M5R,11.0,University-Rosedale
1806777,STR-2009-GYFVBH,M6B,8.0,Eglinton-Lawrence
1806778,STR-2009-HWYVBL,M5V,10.0,Spadina-Fort York
1806779,STR-2009-JFFVBM,M2M,18.0,Willowdale
1806780,STR-2009-FKQHBB,M1L,20.0,Scarborough Southwest
1806781,STR-2009-FSWHBC,M6G,12.0,Toronto-St. Paul's
1806782,STR-2009-GJJHBF,M6E,8.0,Eglinton-Lawrence
1806783,STR-2009-GRQHBG,M5A,13.0,Toronto Centre
1806784,STR-2009-GYWHBH,M4L,14.0,Toronto-Danforth
1806785,STR-2009-HQJHBK,M3L,7.0,Humber River-Black Creek
1806786,STR-2009-HXQHBL,M6E,9.0,Davenport
1806787,STR-2009-JFWHBM,M5B,13.0,Toronto Centre
1806788,STR-2009-FLFVBB,M5R,11.0,University-Rosedale
1806789,STR-2009-GBSVBD,M5R,11.0,University-Rosedale
1806790,STR-2009-FDQKPB,M6H,9.0,Davenport
1806791,STR-2009-FLWKPC,M5V,10.0,Spadina-Fort York
1806792,STR-2009-GCJKPF,M8W,3.0,Etobicoke-Lakeshore
1806793,STR-2009-GSWKPH,M2N,18.0,Willowdale
1806794,STR-2009-HBCKPJ,M6G,11.0,University-Rosedale
1806795,STR-2009-FFFXPB,M9B,3.0,Etobicoke-Lakeshore
1806796,STR-2009-FMLXPC,M4J,14.0,Toronto-Danforth
1806797,STR-2009-FVSXPD,M5J,10.0,Spadina-Fort York
1806798,STR-2009-HJYXPK,M1P,21.0,Scarborough Centre
1806799,STR-2009-HZLXPM,M6G,12.0,Toronto-St. Paul's
1806800,STR-2009-GLWKPG,M5J,10.0,Spadina-Fort York
1806801,STR-2009-GVCKPH,M1N,20.0,Scarborough Southwest
1806802,STR-2009-FPSXPC,M4S,12.0,Toronto-St. Paul's
1806803,STR-2009-FWYXPD,M6G,12.0,Toronto-St. Paul's
1806804,STR-2009-GFFXPF,M2H,17.0,Don Valley North
1806805,STR-2009-HCYXPJ,M6J,9.0,Davenport
1806806,STR-2009-HLFXPK,M9W,1.0,Etobicoke North
1806807,STR-2009-GPCKPG,M1V,23.0,Scarborough North
1806808,STR-2009-GWJKPH,M5V,10.0,Spadina-Fort York
1806809,STR-2009-FHSXPB,M6R,4.0,Parkdale-High Park
1806810,STR-2009-GGLXPF,M4Y,13.0,Toronto Centre
1806811,STR-2009-GWYXPH,M6P,4.0,Parkdale-High Park
1806812,STR-2009-HFFXPJ,M8V,3.0,Etobicoke-Lakeshore
1806813,STR-2009-JCYXPM,M5A,13.0,Toronto Centre
1806814,STR-2009-GXQKPH,M4C,19.0,Beaches-East York
1806815,STR-2009-FSFXPC,M1N,20.0,Scarborough Southwest
1806816,STR-2009-FZLXPD,M2N,18.0,Willowdale
1806817,STR-2009-GQYXPG,M9P,2.0,Etobicoke Centre
1806818,STR-2009-HWYXPL,M4Y,13.0,Toronto Centre
1806819,STR-2009-FSWKPC,M5B,13.0,Toronto Centre
1806820,STR-2009-GBCKPD,M6M,5.0,York South-Weston
1806821,STR-2009-GYWKPH,M4M,14.0,Toronto-Danforth
1806822,STR-2009-HHCKPJ,M1R,21.0,Scarborough Centre
1806823,STR-2009-HXQKPL,M5S,13.0,Toronto Centre
1806824,STR-2009-FLFXPB,M6A,8.0,Eglinton-Lawrence
1806825,STR-2009-FTLXPC,M1B,25.0,Scarborough-Rouge Park
1806826,STR-2009-GBSXPD,M6H,9.0,Davenport
1806827,STR-2009-GJYXPF,M1N,20.0,Scarborough Southwest
1806828,STR-2009-HHSXPJ,M6H,9.0,Davenport
1806829,STR-2009-HYFXPL,M1P,21.0,Scarborough Centre
1806830,STR-2009-GKRRPG,M6R,4.0,Parkdale-High Park
1806831,STR-2009-GSXRPH,M5A,13.0,Toronto Centre
1806832,STR-2009-HJKRPK,M5M,8.0,Eglinton-Lawrence
1806833,STR-2009-HYXRPM,M9W,1.0,Etobicoke North
1806834,STR-2009-GDBDPF,M1N,20.0,Scarborough Southwest
1806835,STR-2009-GLHDPG,M6P,9.0,Davenport
1806836,STR-2009-HZPDPM,M1E,24.0,Scarborough-Guildwood
1806837,STR-2009-FPDRPC,M2K,17.0,Don Valley North
1806838,STR-2009-GDRRPF,M6J,9.0,Davenport
1806839,STR-2009-GLXRPG,M6J,10.0,Spadina-Fort York
1806840,STR-2009-GVDRPH,M1L,20.0,Scarborough Southwest
1806841,STR-2009-HCKRPJ,M6N,9.0,Davenport
1806842,STR-2009-JBDRPM,M6R,4.0,Parkdale-High Park
1806843,STR-2009-FPVDPC,M4A,16.0,Don Valley East
1806844,STR-2009-GMPDPG,M6P,4.0,Parkdale-High Park
1806845,STR-2009-GVVDPH,M1E,25.0,Scarborough-Rouge Park
1806846,STR-2009-HTPDPL,M5A,13.0,Toronto Centre
1806847,STR-2009-FHDRPB,M6C,12.0,Toronto-St. Paul's
1806848,STR-2009-FXRRPD,M6J,10.0,Spadina-Fort York
1806849,STR-2009-GPDRPG,M9P,2.0,Etobicoke Centre
1806850,STR-2009-HLXRPK,M2K,17.0,Don Valley North
1806851,STR-2009-HVDRPL,M9W,1.0,Etobicoke North
1806852,STR-2009-FHVDPB,M4M,14.0,Toronto-Danforth
1806853,STR-2009-FYHDPD,M8V,3.0,Etobicoke-Lakeshore
1806854,STR-2009-GGPDPF,M4Y,13.0,Toronto Centre
1806855,STR-2009-GXBDPH,M4A,16.0,Don Valley East
1806856,STR-2009-HFHDPJ,M6J,10.0,Spadina-Fort York
1806857,STR-2009-HMPDPK,M6R,4.0,Parkdale-High Park
1806858,STR-2009-HVVDPL,M6G,11.0,University-Rosedale
1806859,STR-2009-GHDRPF,M5V,10.0,Spadina-Fort York
1806860,STR-2009-GQKRPG,M6J,10.0,Spadina-Fort York
1806861,STR-2009-GXRRPH,M4X,13.0,Toronto Centre
1806862,STR-2009-HPDRPK,M6S,4.0,Parkdale-High Park
1806863,STR-2009-HWKRPL,M8Z,3.0,Etobicoke-Lakeshore
1806864,STR-2009-JDRRPM,M3B,16.0,Don Valley East
1806865,STR-2009-FKBDPB,M4M,14.0,Toronto-Danforth
1806866,STR-2009-GRBDPG,M4C,19.0,Beaches-East York
1806867,STR-2009-GYHDPH,M1S,22.0,Scarborough-Agincourt
1806868,STR-2009-HGPDPJ,M1W,22.0,Scarborough-Agincourt
1806869,STR-2009-HPVDPK,M4M,14.0,Toronto-Danforth
1806870,STR-2009-FKRRPB,M6J,10.0,Spadina-Fort York
1806871,STR-2009-FSXRPC,M5J,10.0,Spadina-Fort York
1806872,STR-2009-GBDRPD,M5A,10.0,Spadina-Fort York
1806873,STR-2009-GRRRPG,M5A,13.0,Toronto Centre
1806874,STR-2009-GYXRPH,M2K,17.0,Don Valley North
1806875,STR-2009-HXRRPL,M6S,4.0,Parkdale-High Park
1806876,STR-2009-JFXRPM,M6E,9.0,Davenport
1806877,STR-2009-GBVDPD,M5R,11.0,University-Rosedale
1806878,STR-2009-GSHDPG,M5J,10.0,Spadina-Fort York
1806879,STR-2009-HHVDPJ,M5V,10.0,Spadina-Fort York
1806880,STR-2009-HRBDPK,M2J,17.0,Don Valley North
1806881,STR-2009-FDSXPB,M2H,17.0,Don Valley North
1806882,STR-2009-FLYXPC,M4M,14.0,Toronto-Danforth
1806883,STR-2009-FVFXPD,M8Z,3.0,Etobicoke-Lakeshore
1806884,STR-2009-GCLXPF,M1J,21.0,Scarborough Centre
1806885,STR-2009-HBFXPJ,M1T,22.0,Scarborough-Agincourt
1806886,STR-2009-FFJKPB,M6K,10.0,Spadina-Fort York
1806887,STR-2009-FMQKPC,M9W,1.0,Etobicoke North
1806888,STR-2009-FVWKPD,M6N,5.0,York South-Weston
1806889,STR-2009-GDCKPF,M1E,25.0,Scarborough-Rouge Park
1806890,STR-2009-GLJKPG,M1J,24.0,Scarborough-Guildwood
1806891,STR-2009-GTQKPH,M5R,11.0,University-Rosedale
1806892,STR-2009-HBWKPJ,M6H,9.0,Davenport
1806893,STR-2009-HZQKPM,M2J,17.0,Don Valley North
1806894,STR-2009-FWLXPD,M3M,6.0,York Centre
1806895,STR-2009-GDSXPF,M1W,22.0,Scarborough-Agincourt
1806896,STR-2009-GVFXPH,M4G,15.0,Don Valley West
1806897,STR-2009-HSYXPL,M1R,21.0,Scarborough Centre
1806898,STR-2009-FGQKPB,M5A,13.0,Toronto Centre
1806899,STR-2009-FPWKPC,M4W,11.0,University-Rosedale
1806900,STR-2009-GMQKPG,M5R,11.0,University-Rosedale
1806901,STR-2009-GVWKPH,M4W,11.0,University-Rosedale
1806902,STR-2009-HDCKPJ,M4A,16.0,Don Valley East
1806903,STR-2009-JBWKPM,M6S,4.0,Parkdale-High Park
1806904,STR-2009-FHFXPB,M1E,24.0,Scarborough-Guildwood
1806905,STR-2009-FXSXPD,M8W,3.0,Etobicoke-Lakeshore
1806906,STR-2009-GWLXPH,M1S,22.0,Scarborough-Agincourt
1806907,STR-2009-JCLXPM,M6P,4.0,Parkdale-High Park
1806908,STR-2009-FRCKPC,M4L,14.0,Toronto-Danforth
1806909,STR-2009-HMQKPK,M4C,19.0,Beaches-East York
1806910,STR-2009-HVWKPL,M5H,10.0,Spadina-Fort York
1806911,STR-2009-JDCKPM,M6J,11.0,University-Rosedale
1806912,STR-2009-FJLXPB,M4K,14.0,Toronto-Danforth
1806913,STR-2009-GQLXPG,M2N,18.0,Willowdale
1806914,STR-2011-JCRRVM,M5A,13.0,Toronto Centre
1806915,STR-2009-HWLXPL,M3J,7.0,Humber River-Black Creek
1806916,STR-2010-FSJKPC,M4K,14.0,Toronto-Danforth
1806917,STR-2010-FZQKPD,M3L,6.0,York Centre
1806918,STR-2010-GRCKPG,M5T,11.0,University-Rosedale
1806919,STR-2010-GYJKPH,M4Y,13.0,Toronto Centre
1806920,STR-2010-HPWKPK,M4L,19.0,Beaches-East York
1806921,STR-2010-FKSXPB,M6R,4.0,Parkdale-High Park
1806922,STR-2010-FSYXPC,M3H,6.0,York Centre
1806923,STR-2010-GJLXPF,M5J,10.0,Spadina-Fort York
1806924,STR-2010-HHFXPJ,M5B,13.0,Toronto Centre
1806925,STR-2010-JFYXPM,M1R,21.0,Scarborough Centre
1806926,STR-2010-GBWKPD,M4S,12.0,Toronto-St. Paul's
1806927,STR-2010-GSJKPG,M6J,10.0,Spadina-Fort York
1806928,STR-2010-HHWKPJ,M6J,11.0,University-Rosedale
1806929,STR-2010-FVHDPD,M1N,20.0,Scarborough Southwest
1806930,STR-2010-HRVDPL,M6C,12.0,Toronto-St. Paul's
1806931,STR-2010-GMBDPG,M5J,10.0,Spadina-Fort York
1806932,STR-2010-HTBDPL,M8V,3.0,Etobicoke-Lakeshore
1806933,STR-2010-GMRRPG,M2J,17.0,Don Valley North
1806934,STR-2010-HDDRPJ,M6J,9.0,Davenport
1806935,STR-2010-HTRRPL,M6K,9.0,Davenport
1806936,STR-2010-FXVDPD,M1N,20.0,Scarborough Southwest
1806937,STR-2010-GPHDPG,M2J,17.0,Don Valley North
1806938,STR-2010-GWPDPH,M6R,4.0,Parkdale-High Park
1806939,STR-2010-FRDRPC,M1S,23.0,Scarborough North
1806940,STR-2010-GXDRPH,M6P,4.0,Parkdale-High Park
1806941,STR-2010-GXVDPH,M4H,15.0,Don Valley West
1806942,STR-2010-HPHDPK,M1B,23.0,Scarborough North
1806943,STR-2010-FKDRPB,M6R,4.0,Parkdale-High Park
1806944,STR-2010-FSKRPC,M1M,20.0,Scarborough Southwest
1806945,STR-2010-FZRRPD,M9B,3.0,Etobicoke-Lakeshore
1806946,STR-2010-GHXRPF,M6G,11.0,University-Rosedale
1806947,STR-2010-HPXRPK,M5M,8.0,Eglinton-Lawrence
1806948,STR-2010-HXDRPL,M4C,19.0,Beaches-East York
1806949,STR-2010-JFKRPM,M3N,7.0,Humber River-Black Creek
1806950,STR-2010-FKVDPB,M9C,2.0,Etobicoke Centre
1806951,STR-2010-HHHDPJ,M4K,14.0,Toronto-Danforth
1806952,STR-2010-HQPDPK,M5V,10.0,Spadina-Fort York
1806953,STR-2010-JGBDPM,M5V,10.0,Spadina-Fort York
1806954,STR-2010-FLKRPB,M6K,9.0,Davenport
1806955,STR-2010-HHXRPJ,M6J,9.0,Davenport
1806956,STR-2010-FMCKPC,M6E,9.0,Davenport
1806957,STR-2010-GTCKPH,M6P,9.0,Davenport
1806958,STR-2010-HBJKPJ,M1G,24.0,Scarborough-Guildwood
1806959,STR-2010-HRWKPL,M5B,13.0,Toronto Centre
1806960,STR-2010-FFLXPB,M1W,22.0,Scarborough-Agincourt
1806961,STR-2010-FMSXPC,M6S,4.0,Parkdale-High Park
1806962,STR-2010-GLLXPG,M5A,13.0,Toronto Centre
1806963,STR-2010-GTSXPH,M1M,20.0,Scarborough Southwest
1806964,STR-2010-FGCKPB,M6H,9.0,Davenport
1806965,STR-2010-FWQKPD,M5V,10.0,Spadina-Fort York
1806966,STR-2010-GDWKPF,M5S,13.0,Toronto Centre
1806967,STR-2010-GMCKPG,M4C,19.0,Beaches-East York
1806968,STR-2010-HKWKPK,M6N,5.0,York South-Weston
1806969,STR-2010-JBJKPM,M4L,19.0,Beaches-East York
1806970,STR-2010-FGSXPB,M6N,5.0,York South-Weston
1806971,STR-2010-FXFXPD,M1N,20.0,Scarborough Southwest
1806972,STR-2010-GFLXPF,M6H,9.0,Davenport
1806973,STR-2010-HLLXPK,M4X,13.0,Toronto Centre
1806974,STR-2010-FQQKPC,M4J,14.0,Toronto-Danforth
1806975,STR-2010-GGCKPF,M5A,13.0,Toronto Centre
1806976,STR-2010-HVJKPL,M3A,16.0,Don Valley East
1806977,STR-2010-FHYXPB,M6J,10.0,Spadina-Fort York
1806978,STR-2010-GPYXPG,M4C,19.0,Beaches-East York
1806979,STR-2012-GDLXVF,M6A,8.0,Eglinton-Lawrence
1806980,STR-2010-GXFXPH,M6H,9.0,Davenport
1806981,STR-2010-HMSXPK,M6H,9.0,Davenport
1806982,STR-2010-HVYXPL,M5V,10.0,Spadina-Fort York
1806983,STR-2010-FJQKPB,M5J,10.0,Spadina-Fort York
1806984,STR-2010-GQQKPG,M5J,10.0,Spadina-Fort York
1806985,STR-2010-HGCKPJ,M4Y,13.0,Toronto Centre
1806986,STR-2010-HWQKPL,M6H,9.0,Davenport
1806987,STR-2010-FZSXPD,M1J,24.0,Scarborough-Guildwood
1806988,STR-2010-HPYXPK,M8V,3.0,Etobicoke-Lakeshore
1806989,STR-2010-JFLXPM,M5V,10.0,Spadina-Fort York
1806990,STR-2010-GBJKPD,M6R,4.0,Parkdale-High Park
1806991,STR-2010-GRWKPG,M8V,3.0,Etobicoke-Lakeshore
1806992,STR-2010-HQQKPK,M9C,2.0,Etobicoke Centre
1806993,STR-2010-JGCKPM,M1N,20.0,Scarborough Southwest
1806994,STR-2010-FTSXPC,M9L,7.0,Humber River-Black Creek
1806995,STR-2010-GKFXPF,M6J,10.0,Spadina-Fort York
1806996,STR-2010-GSLXPG,M5V,10.0,Spadina-Fort York
1806997,STR-2010-GZSXPH,M6G,11.0,University-Rosedale
1806998,STR-2010-HHYXPJ,M4K,14.0,Toronto-Danforth
1806999,STR-2010-HRFXPK,M4L,19.0,Beaches-East York
1807000,STR-2010-JGSXPM,M4Y,13.0,Toronto Centre
1807001,STR-2010-FVKRPD,M6J,10.0,Spadina-Fort York
1807002,STR-2010-GKXRPG,M9V,1.0,Etobicoke North
1807003,STR-2010-HRXRPL,M5J,10.0,Spadina-Fort York
1807004,STR-2010-FFPDPB,M6E,9.0,Davenport
1807005,STR-2010-GDHDPF,M5J,10.0,Spadina-Fort York
1807006,STR-2010-GLPDPG,M5J,10.0,Spadina-Fort York
1807007,STR-2010-GTVDPH,M1R,21.0,Scarborough Centre
1807008,STR-2010-HZVDPM,M4L,19.0,Beaches-East York
1807009,STR-2010-GMDRPG,M6R,4.0,Parkdale-High Park
1807010,STR-2010-GVKRPH,M5S,11.0,University-Rosedale
1807011,STR-2010-HTDRPL,M6M,5.0,York South-Weston
1807012,STR-2010-FQBDPC,M4E,19.0,Beaches-East York
1807013,STR-2010-GWBDPH,M1C,25.0,Scarborough-Rouge Park
1807014,STR-2010-HDHDPJ,M6J,10.0,Spadina-Fort York
1807015,STR-2010-HLPDPK,M1M,20.0,Scarborough Southwest
1807016,STR-2010-JCBDPM,M6R,4.0,Parkdale-High Park
1807017,STR-2010-FHKRPB,M6B,8.0,Eglinton-Lawrence
1807018,STR-2010-GPKRPG,M6K,9.0,Davenport
1807019,STR-2010-JCRRPM,M5A,13.0,Toronto Centre
1807020,STR-2010-FYPDPD,M5E,10.0,Spadina-Fort York
1807021,STR-2010-GGVDPF,M5J,10.0,Spadina-Fort York
1807022,STR-2010-HFPDPJ,M5J,10.0,Spadina-Fort York
1807023,STR-2010-JDHDPM,M3J,7.0,Humber River-Black Creek
1807024,STR-2010-GHKRPF,M1G,24.0,Scarborough-Guildwood
1807025,STR-2010-GQRRPG,M5R,11.0,University-Rosedale
1807026,STR-2010-FSPDPC,M2P,15.0,Don Valley West
1807027,STR-2010-FZVDPD,M4L,14.0,Toronto-Danforth
1807028,STR-2010-GJBDPF,M8Z,3.0,Etobicoke-Lakeshore
1807029,STR-2010-HQBDPK,M6H,9.0,Davenport
1807030,STR-2010-JFPDPM,M6P,9.0,Davenport
1807031,STR-2010-FKXRPB,M8V,3.0,Etobicoke-Lakeshore
1807032,STR-2010-GBKRPD,M5S,13.0,Toronto Centre
1807033,STR-2010-GJRRPF,M4L,19.0,Beaches-East York
1807034,STR-2010-HHKRPJ,M6G,11.0,University-Rosedale
1807035,STR-2010-FLPDPB,M6S,4.0,Parkdale-High Park
1807036,STR-2010-HRHDPK,M5R,11.0,University-Rosedale
1807037,STR-2010-HYPDPL,M4L,19.0,Beaches-East York
1807038,STR-2010-FMFXPC,M5J,10.0,Spadina-Fort York
1807039,STR-2010-HZFXPM,M6C,12.0,Toronto-St. Paul's
1807040,STR-2010-FFQKPB,M6H,9.0,Davenport
1807041,STR-2010-FMWKPC,M5V,10.0,Spadina-Fort York
1807042,STR-2010-GLQKPG,M4J,14.0,Toronto-Danforth
1807043,STR-2010-HCCKPJ,M4Y,13.0,Toronto Centre
1807044,STR-2010-HKJKPK,M6P,4.0,Parkdale-High Park
1807045,STR-2010-GDYXPF,M1B,25.0,Scarborough-Rouge Park
1807046,STR-2010-GVLXPH,M4M,14.0,Toronto-Danforth
1807047,STR-2010-HKYXPK,M4S,12.0,Toronto-St. Paul's
1807048,STR-2010-GFQKPF,M8Y,3.0,Etobicoke-Lakeshore
1807049,STR-2010-GWCKPH,M5A,13.0,Toronto Centre
1807050,STR-2010-HLQKPK,M4G,15.0,Don Valley West
1807051,STR-2010-JCCKPM,M5V,10.0,Spadina-Fort York
1807052,STR-2010-FQSXPC,M5J,10.0,Spadina-Fort York
1807053,STR-2010-GGFXPF,M4K,14.0,Toronto-Danforth
1807054,STR-2010-HDYXPJ,M5V,10.0,Spadina-Fort York
1807055,STR-2010-HMFXPK,M1T,22.0,Scarborough-Agincourt
1807056,STR-2010-HVLXPL,M4M,14.0,Toronto-Danforth
1807057,STR-2010-GQCKPG,M4J,14.0,Toronto-Danforth
1807058,STR-2010-HFQKPJ,M5J,10.0,Spadina-Fort York
1807059,STR-2010-HMWKPK,M5J,10.0,Spadina-Fort York
1807060,STR-2010-JDJKPM,M3J,7.0,Humber River-Black Creek
1807061,STR-2010-GQSXPG,M5V,10.0,Spadina-Fort York
1807062,STR-2010-HGFXPJ,M4J,14.0,Toronto-Danforth
1807063,STR-2010-HPLXPK,M1N,20.0,Scarborough Southwest
1807064,STR-2010-JDYXPM,M5V,10.0,Spadina-Fort York
1807065,STR-2010-FSQKPC,M5T,11.0,University-Rosedale
1807066,STR-2010-GJCKPF,M5J,10.0,Spadina-Fort York
1807067,STR-2010-HGWKPJ,M5A,13.0,Toronto Centre
1807068,STR-2010-FTFXPC,M2R,6.0,York Centre
1807069,STR-2010-GZFXPH,M5V,10.0,Spadina-Fort York
1807070,STR-2010-HQSXPK,M5J,10.0,Spadina-Fort York
1807071,STR-2012-HTRVHL,M6N,9.0,Davenport
1807072,STR-2010-GKJKPF,M6M,5.0,York South-Weston
1807073,STR-2010-HJCKPJ,M5A,10.0,Spadina-Fort York
1807074,STR-2010-HRJKPK,M4L,19.0,Beaches-East York
1807075,STR-2010-HYQKPL,M5V,10.0,Spadina-Fort York
1807076,STR-2010-GCVDPF,M4N,15.0,Don Valley West
1807077,STR-2010-GTHDPH,M4X,13.0,Toronto Centre
1807078,STR-2010-HSBDPL,M1C,25.0,Scarborough-Rouge Park
1807079,STR-2010-FMXRPC,M6G,11.0,University-Rosedale
1807080,STR-2010-GDKRPF,M4J,14.0,Toronto-Danforth
1807081,STR-2010-GLRRPG,M4W,11.0,University-Rosedale
1807082,STR-2010-FGHDPB,M6K,9.0,Davenport
1807083,STR-2010-FPPDPC,M6P,4.0,Parkdale-High Park
1807084,STR-2010-GFBDPF,M6N,5.0,York South-Weston
1807085,STR-2010-JBPDPM,M9V,1.0,Etobicoke North
1807086,STR-2010-GMXRPG,M6J,11.0,University-Rosedale
1807087,STR-2010-GWDRPH,M8V,3.0,Etobicoke-Lakeshore
1807088,STR-2010-HTXRPL,M9R,1.0,Etobicoke North
1807089,STR-2010-JCDRPM,M5T,10.0,Spadina-Fort York
1807090,STR-2010-HMHDPK,M9P,2.0,Etobicoke Centre
1807091,STR-2010-HVPDPL,M5B,13.0,Toronto Centre
1807092,STR-2010-JCVDPM,M4L,14.0,Toronto-Danforth
1807093,STR-2010-GXKRPH,M6H,9.0,Davenport
1807094,STR-2010-HMXRPK,M4M,14.0,Toronto-Danforth
1807095,STR-2010-GYBDPH,M1E,24.0,Scarborough-Guildwood
1807096,STR-2010-HPPDPK,M4P,15.0,Don Valley West
1807097,STR-2010-HWVDPL,M5V,10.0,Spadina-Fort York
1807098,STR-2010-JFBDPM,M6J,10.0,Spadina-Fort York
1807099,STR-2010-GRKRPG,M5J,10.0,Spadina-Fort York
1807100,STR-2010-GYRRPH,M5J,10.0,Spadina-Fort York
1807101,STR-2010-HQDRPK,M4L,19.0,Beaches-East York
1807102,STR-2010-GSBDPG,M6J,10.0,Spadina-Fort York
1807103,STR-2010-FTXRPC,M4M,14.0,Toronto-Danforth
1807104,STR-2010-HJDRPJ,M2N,18.0,Willowdale
1807105,STR-2010-HZJKPM,M5J,10.0,Spadina-Fort York
1807106,STR-2010-FWFXPD,M9C,2.0,Etobicoke Centre
1807107,STR-2010-GTYXPH,M5J,10.0,Spadina-Fort York
1807108,STR-2010-HKLXPK,M2N,18.0,Willowdale
1807109,STR-2010-HSSXPL,M6S,4.0,Parkdale-High Park
1807110,STR-2010-GFCKPF,M9P,2.0,Etobicoke Centre
1807111,STR-2010-GVQKPH,M5V,10.0,Spadina-Fort York
1807112,STR-2010-FGYXPB,M4S,12.0,Toronto-St. Paul's
1807113,STR-2010-HDLXPJ,M6J,10.0,Spadina-Fort York
1807114,STR-2010-GPQKPG,M6G,11.0,University-Rosedale
1807115,STR-2010-GWWKPH,M6J,9.0,Davenport
1807116,STR-2010-HFSXPJ,M2N,18.0,Willowdale
1807117,STR-2010-HMYXPK,M9N,5.0,York South-Weston
1807118,STR-2010-HWFXPL,M5V,10.0,Spadina-Fort York
1807119,STR-2010-GHQKPF,M4B,19.0,Beaches-East York
1807120,STR-2010-GQWKPG,M4L,14.0,Toronto-Danforth
1807121,STR-2010-HGJKPJ,M8Z,3.0,Etobicoke-Lakeshore
1807122,STR-2010-HWWKPL,M6K,10.0,Spadina-Fort York
1807123,STR-2010-FKLXPB,M6B,8.0,Eglinton-Lawrence
1807124,STR-2010-GJFXPF,M5J,10.0,Spadina-Fort York
1807125,STR-2010-GYSXPH,M4C,19.0,Beaches-East York
1807126,STR-2010-HGYXPJ,M5J,10.0,Spadina-Fort York
1807127,STR-2010-HXLXPL,M1B,25.0,Scarborough-Rouge Park
1807128,STR-2010-FLCKPB,M2H,17.0,Don Valley North
1807129,STR-2010-FTJKPC,M4L,19.0,Beaches-East York
1807130,STR-2010-GZJKPH,M6J,10.0,Spadina-Fort York
1807131,STR-2010-HJFXPJ,M6R,4.0,Parkdale-High Park
1807132,STR-2010-HRLXPK,M5V,10.0,Spadina-Fort York
1807133,STR-2010-HYSXPL,M3H,6.0,York Centre
1807134,STR-2010-JGYXPM,M6K,4.0,Parkdale-High Park
1807135,STR-2010-FDPDVB,M4L,19.0,Beaches-East York
1807136,STR-2010-FLVDVC,M5V,10.0,Spadina-Fort York
1807137,STR-2010-GKPDVG,M6K,10.0,Spadina-Fort York
1807138,STR-2010-GSVDVH,M4J,14.0,Toronto-Danforth
1807139,STR-2010-FVRRVD,M6J,11.0,University-Rosedale
1807140,STR-2010-GLDRVG,M9R,2.0,Etobicoke Centre
1807141,STR-2010-HJXRVK,M8V,3.0,Etobicoke-Lakeshore
1807142,STR-2010-HZKRVM,M4J,14.0,Toronto-Danforth
1807143,STR-2010-GDPDVF,M5T,11.0,University-Rosedale
